        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.613087362223e+05,        +1.512122578267e-05
 2.00e+00,        +2.364502080483e+11,        +1.099117233205e-11
 3.00e+00,        +4.147990518722e+08,        +6.279536816818e-09
 4.00e+00,        +2.390208948954e+08,        -1.130268099416e-08
 5.00e+00,        +8.328906815455e+08,        -3.243970395963e-09
 6.00e+00,        +7.118354292422e+10,        -3.848618855664e-11
 7.00e+00,        +8.151256082343e+10,        +3.434503064460e-11
 8.00e+00,        +8.595507656064e+09,        +3.351296653474e-10
