        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        -1.417379005732e-04,        +9.511527908867e-03
 2.00e+00,        +2.498708468887e-04,        -1.086954492147e-02
 3.00e+00,        +3.844504101153e-02,        -2.244788270533e-01
 4.00e+00,        +1.381076019827e-03,        +2.600641158336e-02
 5.00e+00,        +5.585291543261e-01,        -2.491933011574e-01
 6.00e+00,        +3.811603037765e-06,        +1.300575124321e-04
 7.00e+00,        -4.229763066451e-06,        -1.578819407967e-04
 8.00e+00,        +2.589783288956e-05,        +8.047598725621e-04
