        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²),         Re{B_x[7]} (Wb/m²),         Im{B_x[7]} (Wb/m²),         Re{B_y[7]} (Wb/m²),         Im{B_y[7]} (Wb/m²),         Re{B_z[7]} (Wb/m²),         Im{B_z[7]} (Wb/m²)
 1.00e+00,        -9.918563303271e-11,        -6.418206775622e-10,        -3.951526028403e-11,        -3.230037916209e-10,        -9.492579203712e-10,        +5.083799514321e-08,        -1.521707213067e-10,        -1.961703899506e-10,        +1.765738922271e-10,        -4.799793253221e-10,        -1.455759247896e-09,        +4.641278708513e-08,        -1.435508554361e-10,        +8.210345705730e-11,        +4.420820460863e-10,        -4.304073729221e-10,        -2.068015215866e-09,        +4.191964087685e-08,        -1.105065173961e-12,        +8.689772308820e-11,        +7.396914041454e-10,        -5.447356345177e-10,        -2.722709199786e-09,        +3.723531210688e-08,        +2.066122015535e-11,        +2.768594083448e-10,        +9.567294977002e-10,        -5.412706175713e-10,        -3.311744309574e-09,        +3.315595521375e-08,        -2.942777775104e-11,        +2.172623357821e-10,        +5.959773692995e-10,        -5.955514320226e-10,        -3.181201239266e-09,        +4.225307623653e-08,        +2.481612259707e-12,        +2.887924559242e-09,        +1.512266013693e-11,        +3.015543673647e-10,        -9.726135968427e-10,        +1.465337983097e-08
 2.00e+00,        +2.499595886388e-11,        -3.062966319600e-10,        -1.509777325500e-10,        -3.758134898328e-10,        +6.513325532364e-10,        -2.704781927820e-08,        +7.098733778832e-11,        -2.491774609868e-10,        -1.911455748410e-10,        -4.202294524660e-10,        +8.732473817004e-10,        -2.474211661005e-08,        +4.985502182320e-11,        -1.324441009716e-10,        -2.190314648800e-10,        -6.192148379227e-10,        +1.209451887033e-09,        -2.259750143434e-08,        -1.509418184196e-11,        -9.498653152543e-10,        -2.526161693634e-10,        -1.193787008599e-09,        +1.536009536407e-09,        -2.081679827516e-08,        -2.305402827919e-11,        -1.491205272568e-09,        -3.869201539706e-10,        -1.407859871240e-09,        +1.867359003033e-09,        -1.857879346578e-08,        +2.885510484443e-11,        -8.258110682480e-12,        -1.861404385527e-10,        -2.719864801307e-10,        +1.811499353018e-09,        -2.317151364413e-08,        -5.092181279084e-12,        -1.835863544702e-10,        -1.236197302532e-11,        +8.780312054442e-09,        +5.572290624781e-10,        -1.073942280983e-08
 3.00e+00,        -7.516863117245e-10,        +4.877912240448e-10,        -8.494255913046e-11,        +7.514972010051e-11,        -6.599510738314e-08,        -1.517749449195e-06,        +2.541090085204e-09,        +5.506209351204e-10,        +2.004641896852e-11,        +1.942915363686e-10,        -5.602591652473e-08,        -1.519456267493e-06,        +1.389025198891e-09,        +2.707445762318e-10,        -2.739218873909e-11,        -3.028422829737e-11,        -4.019030941780e-08,        -1.523038724213e-06,        -5.493582310088e-10,        +1.828134927095e-10,        +3.368588244285e-11,        +4.378304565347e-10,        -2.405537574240e-08,        -1.529848070930e-06,        +7.256840364843e-11,        -2.292606894476e-10,        +7.608251649500e-11,        +2.679315586951e-10,        -8.902351329484e-09,        -1.535856371609e-06,        +1.272845192418e-11,        +4.764939899699e-11,        -5.224618147259e-12,        +3.128181509270e-11,        -3.737900685765e-09,        -1.527484012993e-06,        +6.225760857913e-12,        +4.844959667131e-09,        +1.689833664714e-11,        +3.112027926058e-09,        -1.221037500360e-09,        -4.958114969627e-07
 4.00e+00,        -1.645676598261e-11,        -2.194883662906e-10,        -9.725358830409e-12,        +1.438722337908e-10,        -2.659541199599e-12,        -4.591121829910e-11,        +3.869692210529e-12,        -2.270139556301e-10,        -1.258089383629e-10,        +1.968842577739e-10,        +5.113847822674e-12,        -4.521448092120e-11,        +2.481437412725e-11,        -2.352544239866e-10,        -2.594528917293e-10,        +2.544376774528e-10,        +2.109780231900e-12,        -3.960750166516e-11,        +1.872706186686e-11,        -2.314544502420e-10,        -4.038056073719e-10,        +3.173038799979e-10,        -3.462500000514e-13,        -3.388761036928e-11,        -7.997776923435e-12,        -2.185358885851e-10,        -5.385431442394e-10,        +3.762529505836e-10,        +2.158244760381e-12,        -2.980678574534e-11,        +1.552119447762e-11,        -2.282704952629e-10,        -3.334987191786e-10,        +2.853730055908e-10,        -1.001738985070e-11,        -2.437094949037e-11,        +8.614629460589e-14,        +1.930825981807e-09,        -1.007179759900e-11,        -2.630923862354e-09,        -5.728952521558e-12,        +1.471945257508e-07
