        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41005000e+00,        +1.023155440577e-10,        +7.258745879863e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.154807713410e-13,        +3.083409996463e-03,        +9.389733643800e-13,        +1.293575198692e-02,        +3.154807713410e-13,        +3.083409996463e-03,        +9.389733643800e-13,        +1.293575198692e-02,        +1.767835327029e-13,        +1.727826737677e-03,        +5.862149606137e-13,        +8.075981310214e-03,        +1.017137434469e-10,        +9.941181897991e-01,        +7.040950369154e-11,        +9.699954352565e-01,        +1.095363067065e-13,        +1.070573466772e-03,        +6.527667820972e-13,        +8.992831446380e-03
 2.41005500e+00,        +1.023268077834e-10,        +7.259846023387e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.155526650820e-13,        +3.083773176526e-03,        +9.391525353945e-13,        +1.293625969985e-02,        +3.155526650820e-13,        +3.083773176526e-03,        +9.391525353945e-13,        +1.293625969985e-02,        +1.768217411031e-13,        +1.728009941221e-03,        +5.863324358088e-13,        +8.076375641027e-03,        +1.017248760740e-10,        +9.941175560696e-01,        +7.042006715344e-11,        +9.699939492738e-01,        +1.095573031778e-13,        +1.070660812656e-03,        +6.529081092185e-13,        +8.993415385330e-03
 2.41006000e+00,        +1.023380750832e-10,        +7.260946520384e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.156245826454e-13,        +3.084136401715e-03,        +9.393317618075e-13,        +1.293676739211e-02,        +3.156245826454e-13,        +3.084136401715e-03,        +9.393317618075e-13,        +1.293676739211e-02,        +1.768599619442e-13,        +1.728193165647e-03,        +5.864499479367e-13,        +8.076769967803e-03,        +1.017360122324e-10,        +9.941169222668e-01,        +7.043063401233e-11,        +9.699924633049e-01,        +1.095783061905e-13,        +1.070748165836e-03,        +6.530494817745e-13,        +8.993999335226e-03
 2.41006500e+00,        +1.023493459585e-10,        +7.262047371008e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.156965240416e-13,        +3.084499672031e-03,        +9.395110436422e-13,        +1.293727506368e-02,        +3.156965240416e-13,        +3.084499672031e-03,        +9.395110436422e-13,        +1.293727506368e-02,        +1.768981952318e-13,        +1.728376410959e-03,        +5.865674970128e-13,        +8.077164290535e-03,        +1.017471519235e-10,        +9.941162883907e-01,        +7.044120426964e-11,        +9.699909773497e-01,        +1.095993157475e-13,        +1.070835526315e-03,        +6.531908997847e-13,        +8.994583296061e-03
 2.41007000e+00,        +1.023606204110e-10,        +7.263148575409e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.157684892810e-13,        +3.084862987477e-03,        +9.396903809217e-13,        +1.293778271455e-02,        +3.157684892810e-13,        +3.084862987477e-03,        +9.396903809217e-13,        +1.293778271455e-02,        +1.769364409710e-13,        +1.728559677156e-03,        +5.866850830529e-13,        +8.077558609213e-03,        +1.017582951488e-10,        +9.941156544413e-01,        +7.045177792684e-11,        +9.699894914084e-01,        +1.096203318514e-13,        +1.070922894090e-03,        +6.533323632687e-13,        +8.995167267825e-03
 2.41007500e+00,        +1.023718984420e-10,        +7.264250133738e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.158404783740e-13,        +3.085226348058e-03,        +9.398697736690e-13,        +1.293829034471e-02,        +3.158404783740e-13,        +3.085226348058e-03,        +9.398697736690e-13,        +1.293829034471e-02,        +1.769746991675e-13,        +1.728742964240e-03,        +5.868027060725e-13,        +8.077952923829e-03,        +1.017694419100e-10,        +9.941150204185e-01,        +7.046235498539e-11,        +9.699880054810e-01,        +1.096413545050e-13,        +1.071010269162e-03,        +6.534738722459e-13,        +8.995751250510e-03
 2.41008000e+00,        +1.023831800532e-10,        +7.265352046147e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.159124913313e-13,        +3.085589753776e-03,        +9.400492219074e-13,        +1.293879795413e-02,        +3.159124913313e-13,        +3.085589753776e-03,        +9.400492219074e-13,        +1.293879795413e-02,        +1.770129698266e-13,        +1.728926272211e-03,        +5.869203660874e-13,        +8.078347234373e-03,        +1.017805922084e-10,        +9.941143863225e-01,        +7.047293544674e-11,        +9.699865195674e-01,        +1.096623837113e-13,        +1.071097651530e-03,        +6.536154267360e-13,        +8.996335244107e-03
 2.41008500e+00,        +1.023944652462e-10,        +7.266454312787e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.159845281631e-13,        +3.085953204634e-03,        +9.402287256600e-13,        +1.293930554281e-02,        +3.159845281631e-13,        +3.085953204634e-03,        +9.402287256600e-13,        +1.293930554281e-02,        +1.770512529536e-13,        +1.729109601070e-03,        +5.870380631130e-13,        +8.078741540836e-03,        +1.017917460456e-10,        +9.941137521531e-01,        +7.048351931234e-11,        +9.699850336678e-01,        +1.096834194728e-13,        +1.071185041195e-03,        +6.537570267584e-13,        +8.996919248607e-03
 2.41009000e+00,        +1.024057540223e-10,        +7.267556933811e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.160565888800e-13,        +3.086316700635e-03,        +9.404082849499e-13,        +1.293981311072e-02,        +3.160565888800e-13,        +3.086316700635e-03,        +9.404082849499e-13,        +1.293981311072e-02,        +1.770895485541e-13,        +1.729292950819e-03,        +5.871557971651e-13,        +8.079135843209e-03,        +1.018029034230e-10,        +9.941131179104e-01,        +7.049410658366e-11,        +9.699835477821e-01,        +1.097044617925e-13,        +1.071272438154e-03,        +6.538986723328e-13,        +8.997503264002e-03
 2.41009500e+00,        +1.024170463831e-10,        +7.268659909369e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.161286734925e-13,        +3.086680241783e-03,        +9.405878998003e-13,        +1.294032065784e-02,        +3.161286734925e-13,        +3.086680241783e-03,        +9.405878998003e-13,        +1.294032065784e-02,        +1.771278566333e-13,        +1.729476321459e-03,        +5.872735682593e-13,        +8.079530141483e-03,        +1.018140643423e-10,        +9.941124835944e-01,        +7.050469726215e-11,        +9.699820619104e-01,        +1.097255106730e-13,        +1.071359842409e-03,        +6.540403634787e-13,        +8.998087290282e-03
