        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +3.329339442788e+05,        +7.326262183903e-06
 2.00e+00,        +1.485613356423e+10,        -1.748788382714e-10
 3.00e+00,        +2.297001111185e+07,        +1.134280364857e-07
 4.00e+00,        +5.432641566346e+04,        +4.797316580934e-05
 5.00e+00,        +4.193200875482e+08,        -6.442204606173e-09
 6.00e+00,        +2.515766731242e+09,        +1.073866006297e-09
 7.00e+00,        +5.675846762277e+10,        -4.826436012465e-11
 8.00e+00,        +7.543403972797e+10,        +3.818757563859e-11
