        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667569e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199126771347e-12,        +1.792142191163e-02,        +3.020625811025e-14,        +8.732505655642e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666717e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261500406717e-13,        +3.646946072301e-04,        +5.073708968808e-12,        +1.466788508341e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059665323e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261535164842e-13,        +3.647046556621e-04,        +5.073925322399e-12,        +1.466851055871e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059668369e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276543588009e-12,        +1.236331257467e-02,        +2.206739227098e-12,        +6.379592833499e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059666817e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276583775928e-12,        +1.236342875630e-02,        +2.206721921602e-12,        +6.379542806883e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059667241e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478596104560e-12,        +4.274560854149e-03,        +2.365712869909e-14,        +6.839179133892e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059669005e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888502766303e-14,        +1.702342061957e-04,        +2.256874140494e-14,        +6.524530816038e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667881e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.887026494593e-14,        +1.701915277845e-04,        +2.256755402775e-14,        +6.524187552269e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059666893e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340191968280e-15,        +6.765399251327e-06,        +1.572710036881e-13,        +4.546640383029e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059664686e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340439080072e-15,        +6.766113641407e-06,        +1.572903321199e-13,        +4.547199162989e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059666687e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.008387161538e-12,        +8.697124221536e-03,        +3.979509857058e-12,        +1.150460021081e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059666835e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009399490854e-12,        +8.700050824175e-03,        +3.979043251658e-12,        +1.150325127320e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667057e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.645897182354e-13,        +4.758221426357e-04,        +6.465252636304e-12,        +1.869078090175e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059739919e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385070597795e-11,        +4.004182439889e-02,        +3.605981825852e-13,        +1.042474573144e-03
 1.50e+01,        +3.459059667205e-10,        +3.459059674516e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017307691370e-16,        +2.317770857607e-06,        +2.262535632958e-16,        +6.540897948729e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059668551e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017088036438e-16,        +2.317707356264e-06,        +2.263322276929e-16,        +6.543172115552e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059663696e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.619119749204e-14,        +1.913560443018e-04,        +1.232074659258e-13,        +3.561877443713e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667514e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.616972135797e-14,        +1.912939576768e-04,        +1.231995442033e-13,        +3.561648426025e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059668583e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.336568675971e-17,        +1.253684264855e-07,        +3.571667991205e-15,        +1.032554605416e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059669686e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.181001472216e-17,        +1.208710422620e-07,        +3.572904685116e-15,        +1.032912128238e-05
