        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.10e+01,        +3.459059667205e-10,        +3.459059666579e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.001651844472e-12,        +8.677652695414e-03,        +3.985706431712e-12,        +1.152251425502e-02,        +3.001651844472e-12,        +8.677652695414e-03,        +3.985706431712e-12,        +1.152251425502e-02,        +1.321396759970e-12,        +3.820103979407e-03,        +2.594912860579e-12,        +7.501786932589e-03,        +3.411540732500e-10,        +9.862624703599e-01,        +3.363191104485e-10,        +9.722847908577e-01,        +4.288448660617e-13,        +1.239772965259e-03,        +3.006236917188e-12,        +8.690907954648e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059664820e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.014482144611e-12,        +8.714744568275e-03,        +3.974622852638e-12,        +1.149047208715e-02,        +3.014482144611e-12,        +8.714744568275e-03,        +3.974622852638e-12,        +1.149047208715e-02,        +1.326623430051e-12,        +3.835214068808e-03,        +2.594102510789e-12,        +7.499444248310e-03,        +3.411342276772e-10,        +9.862050976209e-01,        +3.363215685252e-10,        +9.722918975517e-01,        +4.306334685932e-13,        +1.244943742012e-03,        +3.015672593328e-12,        +8.718186112829e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059666552e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.664548448958e-13,        +4.812141475152e-04,        +6.463735500847e-12,        +1.868639492793e-02,        +1.664548448958e-13,        +4.812141475152e-04,        +6.463735500847e-12,        +1.868639492793e-02,        +1.624130910567e-13,        +4.695296025002e-04,        +2.774657658868e-12,        +8.021421791877e-03,        +3.455549510918e-10,        +9.989852281763e-01,        +3.357723747777e-10,        +9.707042004061e-01,        +2.214769272774e-14,        +6.402807369217e-05,        +8.951987177537e-13,        +2.587982874103e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059643567e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385038567275e-11,        +4.004089840965e-02,        +3.605873317609e-13,        +1.042443232893e-03,        +1.385038567275e-11,        +4.004089840965e-02,        +3.605873317609e-13,        +1.042443232893e-03,        +6.814347249097e-12,        +1.969999914631e-02,        +4.424325587588e-13,        +1.279054437762e-03,        +3.200115787006e-10,        +9.251403834822e-01,        +3.449667932330e-10,        +9.972848946812e-01,        +5.229655098085e-12,        +1.511871896188e-02,        +1.361512331246e-13,        +3.936076481880e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059664414e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.026560921894e-16,        +2.320445928699e-06,        +2.262423658143e-16,        +6.540574253223e-07,        +8.026560921894e-16,        +2.320445928699e-06,        +2.262423658143e-16,        +6.540574253223e-07,        +1.485453680546e-15,        +4.294385825804e-06,        +6.513275689856e-16,        +1.882961359951e-06,        +3.459035723690e-10,        +9.999930780277e-01,        +3.459049185931e-10,        +9.999969707135e-01,        +1.062417615338e-16,        +3.071405866199e-07,        +1.702783389806e-16,        +4.922677129060e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059667012e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.016285661970e-16,        +2.317475393088e-06,        +2.262088739580e-16,        +6.539606012446e-07,        +8.016285661970e-16,        +2.317475393088e-06,        +2.262088739580e-16,        +6.539606012446e-07,        +1.484714431124e-15,        +4.292248685968e-06,        +6.512479946016e-16,        +1.882731312247e-06,        +3.459035743361e-10,        +9.999930837146e-01,        +3.459049190412e-10,        +9.999969712578e-01,        +1.060414068374e-16,        +3.065613693882e-07,        +1.702031148338e-16,        +4.920502426049e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059667384e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.618637977601e-14,        +1.913421164819e-04,        +1.231830000986e-13,        +3.561170142862e-04,        +6.618637977601e-14,        +1.913421164819e-04,        +1.231830000986e-13,        +3.561170142862e-04,        +6.923999967436e-14,        +2.001700066952e-04,        +1.937158041106e-13,        +5.600244654267e-04,        +3.457610330682e-10,        +9.995810027399e-01,        +3.454955844430e-10,        +9.988136015715e-01,        +9.507272850696e-15,        +2.748513690248e-05,        +9.348349113948e-14,        +2.702569487915e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059666335e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.617362541817e-14,        +1.913052441551e-04,        +1.232234600051e-13,        +3.562339823287e-04,        +6.617362541817e-14,        +1.913052441551e-04,        +1.232234600051e-13,        +3.562339823287e-04,        +6.922673171597e-14,        +2.001316495703e-04,        +1.937459314676e-13,        +5.601115625533e-04,        +3.457610617990e-10,        +9.995810857997e-01,        +3.454955203794e-10,        +9.988134166689e-01,        +9.504564299686e-15,        +2.747730659230e-05,        +9.347686265207e-14,        +2.702377861874e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059664392e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.179343556035e-17,        +1.208231125834e-07,        +3.571225436093e-15,        +1.032426665795e-05,        +4.179343556035e-17,        +1.208231125834e-07,        +3.571225436093e-15,        +1.032426665795e-05,        +1.489005891103e-16,        +4.304655121219e-07,        +7.953784694903e-15,        +2.299406621048e-05,        +3.459057603948e-10,        +9.999994035208e-01,        +3.458930928493e-10,        +9.999627829785e-01,        +1.563170342342e-17,        +4.519061515944e-08,        +1.348579673079e-15,        +3.898688672422e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059668989e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.174334267825e-17,        +1.206782961104e-07,        +3.573346526600e-15,        +1.033039863011e-05,        +4.174334267825e-17,        +1.206782961104e-07,        +3.573346526600e-15,        +1.033039863011e-05,        +1.490847761286e-16,        +4.309979892572e-07,        +7.957828327052e-15,        +2.300575615505e-05,        +3.459057599345e-10,        +9.999994021901e-01,        +3.458930867792e-10,        +9.999627641007e-01,        +1.595789507962e-17,        +4.613362189416e-08,        +1.348944891403e-15,        +3.899744498472e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059667395e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.101013372836e-16,        +3.182984622307e-07,        +2.610827788738e-17,        +7.547796337101e-08,        +1.101013372836e-16,        +3.182984622307e-07,        +2.610827788738e-17,        +7.547796337101e-08,        +7.276089188639e-17,        +2.103487620530e-07,        +2.682703880353e-17,        +7.755587177752e-08,        +3.459057694753e-10,        +9.999994297722e-01,        +3.459058963340e-10,        +9.999997964606e-01,        +1.438296817187e-17,        +4.158057262854e-08,        +1.747017473380e-17,        +5.050556050961e-08
 2.20e+01,        +3.459059667205e-10,        +3.459059666583e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.614974854992e-16,        +4.668826242876e-07,        +3.995375834111e-17,        +1.155046810181e-07,        +1.614974854992e-16,        +4.668826242876e-07,        +3.995375834111e-17,        +1.155046810181e-07,        +9.366668090543e-17,        +2.707865429252e-07,        +3.557639045782e-17,        +1.028498895278e-07,        +3.459056900712e-10,        +9.999992002182e-01,        +3.459058659119e-10,        +9.999997087464e-01,        +2.148513055542e-17,        +6.211263355506e-08,        +2.521621269561e-17,        +7.289903941010e-08
 2.30e+01,        +3.459059667205e-10,        +3.459059664551e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.476664811159e-12,        +2.450569121870e-02,        +2.038262548663e-12,        +5.892533654598e-03,        +8.476664811159e-12,        +2.450569121870e-02,        +2.038262548663e-12,        +5.892533654598e-03,        +3.447097244057e-12,        +9.965417124020e-03,        +1.393247891175e-12,        +4.027822663637e-03,        +3.328617240079e-10,        +9.622896279118e-01,        +3.411019942585e-10,        +9.861119128827e-01,        +1.120480657343e-12,        +3.239263745482e-03,        +1.372461756671e-12,        +3.967730799029e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059666936e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.478211959274e-12,        +2.451016396061e-02,        +2.039356130996e-12,        +5.895695152325e-03,        +8.478211959274e-12,        +2.451016396061e-02,        +2.039356130996e-12,        +5.895695152325e-03,        +3.447692797660e-12,        +9.967138845124e-03,        +1.393642838123e-12,        +4.028964436331e-03,        +3.328594309379e-10,        +9.622829987402e-01,        +3.411005648111e-10,        +9.861077797287e-01,        +1.120631025641e-12,        +3.239698454080e-03,        +1.372402913349e-12,        +3.967560682655e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059656399e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.644823603016e-12,        +2.210087231364e-02,        +2.824030816956e-13,        +8.164157596217e-04,        +7.644823603016e-12,        +2.210087231364e-02,        +2.824030816956e-13,        +8.164157596217e-04,        +4.853332510264e-12,        +1.403078575452e-02,        +4.423886135923e-13,        +1.278927389338e-03,        +3.276915814275e-10,        +9.473429572040e-01,        +3.449668896903e-10,        +9.972851698354e-01,        +5.716229179730e-12,        +1.652538472789e-02,        +2.142842543297e-13,        +6.194870155918e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059658036e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334665072208e-13,        +2.120421668856e-03,        +8.633792789701e-12,        +2.495994184328e-02,        +7.334665072208e-13,        +2.120421668856e-03,        +8.633792789701e-12,        +2.495994184328e-02,        +8.845101510076e-13,        +2.557082664383e-03,        +4.062802774287e-12,        +1.174539665671e-02,        +3.440110409573e-10,        +9.945218471335e-01,        +3.299496747702e-10,        +9.538710152156e-01,        +2.769491049048e-13,        +8.006485332719e-04,        +3.259695469383e-12,        +9.423646284359e-03
 2.70e+01,        +3.459059667205e-10,        +3.459059662929e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.336849803672e-13,        +2.121053265786e-03,        +8.636525841797e-12,        +2.496784294980e-02,        +7.336849803672e-13,        +2.121053265786e-03,        +8.636525841797e-12,        +2.496784294980e-02,        +8.847907280483e-13,        +2.557893801130e-03,        +4.063818994062e-12,        +1.174833448990e-02,        +3.440104372706e-10,        +9.945201018997e-01,        +3.299455975853e-10,        +9.538592268916e-01,        +2.770537414948e-13,        +8.009510333733e-04,        +3.260023871696e-12,        +9.424595668684e-03
