        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +3.184817165745e+03,        +7.483968586857e-04
 2.00e+00,        +9.727114354461e+03,        +2.552114184610e-04
 3.00e+00,        +1.337619568548e+05,        -1.948451013971e-05
 4.00e+00,        +1.634062424243e+05,        -1.595004351910e-05
 5.00e+00,        +8.258576849413e+06,        +3.298729801804e-07
 6.00e+00,        +2.871835481325e+06,        -9.505709152027e-07
 7.00e+00,        +1.902927185288e+04,        -1.435028904103e-04
 8.00e+00,        +2.572886716652e+03,        +1.066337927851e-03
