        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +7.244446271322e+03,        +3.291646503599e-04
 2.00e+00,        +3.432850140255e+06,        -6.953935194880e-07
 3.00e+00,        +3.078884691405e+03,        -7.964371028021e-04
 4.00e+00,        +4.576649613164e+03,        -5.666724366157e-04
 5.00e+00,        +5.646649464555e+02,        -4.631152448341e-03
 6.00e+00,        +8.560061080605e+08,        -3.200715187583e-09
 7.00e+00,        +2.503993057384e+11,        -1.094377437255e-11
 8.00e+00,        +5.373706249006e+08,        +5.117432382899e-09
