        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +4.051498954980e-04,        +1.413712268949e-03
 2.00e+00,        +1.714402337029e-06,        +4.568699359368e-06
 3.00e+00,        +1.028576239388e-03,        +3.884375918214e-03
 4.00e+00,        -1.450657487320e-05,        -3.748427293427e-05
 5.00e+00,        -9.319171794587e-06,        -2.407662102362e-05
 6.00e+00,        -1.618025020044e-07,        -4.657980584296e-07
 7.00e+00,        +1.371047384745e-07,        +4.088462659898e-07
 8.00e+00,        +3.297439236905e-06,        +7.908815791744e-06
