        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +2.025749477490e-02,        +7.068561344743e-02
 2.00e+00,        +8.572011685147e-05,        +2.284349679684e-04
 3.00e+00,        +5.142881196939e-02,        +1.942187959107e-01
 4.00e+00,        -7.253287436600e-04,        -1.874213646713e-03
 5.00e+00,        -4.659585897293e-04,        -1.203831051181e-03
 6.00e+00,        -8.090125100220e-06,        -2.328990292148e-05
 7.00e+00,        +6.855236923726e-06,        +2.044231329949e-05
 8.00e+00,        +1.648719618453e-04,        +3.954407895872e-04
