        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +2.106504341252e-03,        -7.873610879546e-03
 2.00e+00,        -3.832577315394e-04,        +7.384098635165e-04
 3.00e+00,        +1.906079402247e-04,        +9.613972584353e-03
 4.00e+00,        -5.415354637183e-04,        -8.786800498654e-03
 5.00e+00,        -9.605317416440e-03,        +2.148313675897e-02
 6.00e+00,        -2.650179005070e-06,        +2.457910607491e-05
 7.00e+00,        +5.323768497358e-07,        -4.902860516586e-06
 8.00e+00,        -1.555303443016e-06,        +2.066383897169e-05
