        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m),           Re{E_x[8]} (V/m),           Im{E_x[8]} (V/m),           Re{E_y[8]} (V/m),           Im{E_y[8]} (V/m),           Re{E_z[8]} (V/m),           Im{E_z[8]} (V/m),           Re{E_x[9]} (V/m),           Im{E_x[9]} (V/m),           Re{E_y[9]} (V/m),           Im{E_y[9]} (V/m),           Re{E_z[9]} (V/m),           Im{E_z[9]} (V/m),          Re{E_x[10]} (V/m),          Im{E_x[10]} (V/m),          Re{E_y[10]} (V/m),          Im{E_y[10]} (V/m),          Re{E_z[10]} (V/m),          Im{E_z[10]} (V/m),          Re{E_x[11]} (V/m),          Im{E_x[11]} (V/m),          Re{E_y[11]} (V/m),          Im{E_y[11]} (V/m),          Re{E_z[11]} (V/m),          Im{E_z[11]} (V/m),          Re{E_x[12]} (V/m),          Im{E_x[12]} (V/m),          Re{E_y[12]} (V/m),          Im{E_y[12]} (V/m),          Re{E_z[12]} (V/m),          Im{E_z[12]} (V/m)
 1.00e+00,        -1.132586726662e+00,        +4.018915828457e-04,        +3.366122222494e+02,        -1.095146171529e-01,        +2.945384780579e-01,        -9.131437042314e-05,        -2.110263484411e+02,        +6.917512778363e-02,        +2.526238780421e+02,        -8.292027800619e-02,        -3.821646392768e-01,        +1.220625830163e-04,        -3.235260122619e+02,        +1.054184868049e-01,        +5.781243523357e+01,        -1.864720047524e-02,        -1.576929568321e+00,        +4.805803378827e-04,        -1.287135483381e-01,        -1.907238709593e-04,        +2.511117810800e+02,        -7.997146249528e-02,        -4.564508723511e-01,        +1.493757477542e-04,        -1.603339742095e+02,        +5.113578173925e-02,        +1.912160426947e+02,        -6.094374311606e-02,        -2.398157457761e-01,        +8.441994532111e-05,        -2.459991131685e+02,        +7.845670206885e-02,        +4.401642898196e+01,        -1.365539425518e-02,        -1.572878521796e-01,        +6.391228909756e-05,        +1.323042555494e+00,        -4.461626048616e-04,        +1.222476814519e+02,        -3.892012403278e-02,        -9.044554937495e-02,        +5.275178126993e-05,        +1.935119117267e-02,        -1.234965197133e-04,        +6.224954305815e+01,        -1.971895754788e-02,        -7.118561238153e-02,        +4.865002780192e-05,        -2.300048806439e+01,        -1.468035304576e-02,        +1.446411683311e+01,        -5.518135214428e-02,        +5.061775485805e-01,        +1.081843053398e-03,        +3.396059339307e-01,        +4.897481121403e-02,        +1.366604838324e+00,        +2.280640403194e-02,        -9.163712065569e-03,        -1.650432302433e-03,        -1.714909084335e+01,        +1.585256873486e-03,        +1.714181260185e+01,        -1.639572595025e-02,        +2.799298097450e-01,        -2.330930026037e-04,        -1.586200744445e+00,        +5.474426841246e-01,        +2.183218026893e+00,        -7.534902129234e-01,        -6.677271118832e-01,        +2.268213443254e-01
 2.00e+00,        -1.675020977096e+01,        -2.960666711287e-04,        +6.298331839939e+00,        +5.863771757122e-03,        +7.486582879396e+01,        +2.873196668408e-02,        -1.081319392954e+01,        +7.062161416551e-03,        -1.075815276181e+01,        +4.951197732775e-03,        +7.286652079985e+01,        +2.906477582429e-02,        -4.843176592536e-01,        +3.787855515938e-03,        -1.437432506123e+01,        -2.189244265070e-03,        +7.820621420648e+01,        +2.910225105908e-02,        -4.035084920242e+01,        +2.343460665650e-04,        +3.170790010324e+00,        +2.074365027476e-03,        -1.885307645142e+02,        +1.309781322461e-02,        -2.973045474715e+01,        +2.682920851413e-03,        -2.464426143741e+01,        +1.932848441859e-03,        -1.860544012765e+02,        +1.297969473558e-02,        -5.875242527950e+00,        +1.462416819764e-03,        -4.152983725821e+01,        -3.099131926045e-04,        -1.862627066074e+02,        +1.303921032808e-02,        -2.950169613627e+00,        -1.369260584578e-04,        -1.666608394169e-01,        +7.541997820291e-05,        -4.285040632952e+02,        -3.995703136923e-03,        -7.631326388295e+00,        +5.309916048591e-06,        -3.051173754059e-01,        -6.384169768282e-05,        -4.478748986727e+02,        -5.830309740225e-03,        +2.953126139885e+01,        +1.824737079569e-02,        +2.292837128412e+01,        +1.393122181358e-02,        +2.582355255708e+01,        -2.217657466032e-03,        -8.423245422026e-02,        +9.777738720951e-04,        +1.534023291978e-01,        +8.992930275195e-04,        +4.377348799093e+00,        -1.671285761900e-03,        +1.218802040415e+01,        +7.288373100981e-03,        -1.940877123983e+00,        -1.201607227458e-03,        +8.552450258165e+00,        -2.562430375021e-03,        -4.600526406523e-03,        +1.521583009584e-03,        +6.332081370589e-03,        -2.094279344888e-03,        +2.710415759625e-02,        +6.115970662904e-04
 3.00e+00,        -6.767176619011e+01,        -8.267882657397e-03,        +1.615497468111e+02,        +1.983017364382e-02,        -1.127041762260e+00,        -2.808303803702e-03,        +1.735514190413e+02,        +2.263742736968e-02,        +1.042837828960e+02,        +1.415125922116e-02,        -1.421425100407e+00,        -2.750572025661e-03,        +1.001589889084e+02,        +1.251792631099e-02,        -1.542356876409e+02,        -1.934664461674e-02,        +7.037696479313e-01,        -2.584304911156e-03,        -2.168877878631e+01,        -1.833147780219e-03,        +6.015765205667e+01,        +8.521890258043e-03,        +1.225362049677e+00,        +5.809993327062e-03,        +5.836223264309e+01,        +9.252400642560e-03,        +3.303100157576e+01,        +5.608834208445e-03,        +1.526088227894e+00,        +5.813126049264e-03,        +4.197021378640e+01,        +6.200554304796e-03,        -5.648264251282e+01,        -6.566120237882e-03,        +2.043534854546e+00,        +5.899429894788e-03,        -4.813443093940e-01,        +8.451275106855e-06,        +4.947000952546e+00,        +9.288061969875e-04,        +4.483294399094e+00,        +1.382216594080e-02,        -1.817055672757e-01,        +2.532260613634e-04,        +1.231001321968e+00,        +2.881780858669e-04,        +4.708973319944e+00,        +1.446739538463e-02,        +5.171313684415e+02,        +2.336456567586e-02,        +3.918066437464e+02,        +2.034779107778e-02,        -1.809805733836e+01,        -1.488899013282e-03,        +1.490961503689e+00,        +1.150330892628e-02,        +4.180955324687e+00,        +8.720648199600e-03,        +3.235969088148e+00,        +2.369164017206e-05,        +2.071804790443e+02,        +8.817791889898e-03,        -4.658179087838e+01,        +1.199158451088e-02,        -4.025519837138e+00,        +2.092650348822e-04,        -3.893973593210e-02,        +1.418296389905e-02,        +5.359594852487e-02,        -1.952117508936e-02,        +2.307434766389e-01,        +5.461316976549e-03
 4.00e+00,        +1.948506401620e+02,        +4.075899625310e+00,        +5.575824967716e+01,        +1.164520129943e+00,        +4.867875464699e-01,        +1.043267717742e-02,        +7.521922021548e+01,        +1.573060477262e+00,        -1.516855038242e+02,        -3.172150348288e+00,        +5.390906563365e-01,        +1.153234989613e-02,        -1.326650654266e+02,        -2.773234631269e+00,        -1.345340937939e+02,        -2.815146209706e+00,        -8.716365305616e-01,        -1.790387472674e-02,        +6.533451381477e+01,        +1.368114875841e+00,        +1.709977211208e+01,        +3.566158351253e-01,        -2.167323793845e-01,        -4.979221076992e-03,        +2.977495146698e+01,        +6.239976762407e-01,        -5.703593574110e+01,        -1.194814544564e+00,        +5.197744409495e-02,        +6.672996150422e-04,        -4.690912158980e+01,        -9.807157132300e-01,        -4.404965272118e+01,        -9.231398525249e-01,        -4.729422212376e-01,        -1.032705722636e-02,        +3.689891818980e-01,        +7.784680076510e-03,        +1.006607993294e+00,        +2.024070878821e-02,        -5.344751349383e-01,        -1.220856438113e-02,        +1.564073947359e+00,        +3.315095494716e-02,        +4.394462449651e-02,        +2.731210589878e-04,        -5.874144802902e-01,        -1.336271614729e-02,        -9.692181102593e+00,        -1.496695757349e-01,        -3.881939711064e+01,        -6.977904394766e-01,        +8.555911281849e-01,        +1.500619845363e-02,        -1.796087000779e+00,        -1.476594398422e-01,        -2.725688349793e+00,        -1.093234692168e-01,        -1.270860457022e-01,        +1.048993193958e-03,        -2.467350736427e+01,        -5.033127079311e-01,        -2.680569140291e+01,        -5.389404126976e-01,        -5.516337535039e-01,        -1.135180989359e-02,        +3.621537221423e+00,        -1.147019320227e+00,        -4.984618355880e+00,        +1.578736654791e+00,        +1.528899346594e+00,        -4.750231961502e-01
 5.00e+00,        -6.042737393299e-02,        +1.744502083285e-04,        -7.652262323856e+00,        +4.672529093135e-03,        +4.856536144158e-01,        -4.529059682318e-03,        +4.250442176587e+00,        -6.306186608246e-04,        -4.776793854860e+00,        +7.346889479686e-04,        -1.325133272043e+00,        +1.485339937027e-02,        +2.578934829346e+00,        +1.497348844152e-03,        -2.414831544271e+00,        +1.565999375655e-03,        -4.794652183662e+00,        +2.717800203245e-02,        +3.539451471937e-01,        +3.423529669112e-04,        -5.397798632602e+00,        +3.169542613870e-03,        -4.375781710442e+00,        -9.554736688790e-03,        +3.071073739779e+00,        -7.376114481018e-05,        -5.293584136243e+00,        +2.101521902332e-03,        +1.212967507213e+01,        -4.088963766999e-04,        +3.216804238074e+00,        +6.592794750769e-04,        -2.860829323661e+00,        +1.647956702029e-03,        +2.353986530762e+01,        +8.485236546552e-03,        -7.924759299213e-01,        +2.598320387712e-04,        -7.451711903852e+00,        +3.701324481881e-03,        -1.060762277976e+01,        -1.510254252460e-02,        +1.121153410256e+00,        +1.377651689446e-03,        -6.789129045150e+00,        +3.349843720207e-03,        -5.023775385967e+00,        -7.614783473121e-03,        +1.098313471636e+00,        -1.796175693354e-04,        +2.476092635504e-02,        +8.461092624459e-04,        +8.536436170748e-01,        +4.811755641702e-03,        -8.981482029157e-02,        -9.134373662048e-04,        -4.089329350243e-02,        -5.563305964910e-04,        -2.666483731512e-01,        +2.898880895714e-03,        +5.820950585450e-01,        -1.699365062308e-04,        -3.452080536993e-01,        +5.251756628476e-04,        +2.311802023371e-01,        +3.662558461669e-03,        +3.458524980519e-02,        -1.167789636343e-02,        -4.760251254685e-02,        +1.607324542377e-02,        +1.533501194059e-02,        -4.850913263272e-03
 6.00e+00,        +5.019697668636e-01,        -1.539818721269e-04,        +6.384192773905e+00,        +5.597445594168e-03,        +2.301374476258e+00,        -2.436362006181e-02,        +2.183330156983e+00,        -4.280449409056e-04,        -4.602156231909e+00,        -1.422201218281e-03,        +3.477091156452e+00,        -2.134919244607e-02,        +8.262164145729e+00,        +3.744497937939e-03,        +6.230323097967e-01,        +8.882324521777e-04,        +2.086433480186e+00,        -7.131642661451e-03,        +1.338171042767e+00,        +1.367516024304e-04,        +3.040503487176e+00,        +3.176937704265e-03,        -2.560986678316e+01,        -3.349638508935e-02,        +2.991220782836e+00,        +3.001027351101e-04,        -1.522238192777e+00,        +5.094276360488e-04,        -2.142710640546e+01,        -3.376682797095e-02,        +6.519479355251e+00,        +2.360295879958e-03,        -1.308052254898e+00,        -1.611551307147e-05,        -7.609061939233e+00,        -1.871347527054e-02,        -1.337524689018e-01,        +1.220979515295e-04,        +1.682677631948e+00,        +3.026626363661e-03,        -6.098167673398e+01,        -3.978426706427e-02,        +6.285556601292e+00,        +2.782355975782e-03,        +1.246658680147e+00,        +2.597817705411e-03,        -3.077581452765e+01,        -2.035281822872e-02,        -8.536183664848e-01,        -5.688391010188e-04,        -9.175853630613e-01,        +2.490922608364e-05,        -2.002141971601e+00,        -1.242216897598e-02,        +1.900301763265e-01,        -6.426961396970e-04,        +3.497707870680e-02,        -1.427890106319e-04,        +4.747812137973e-01,        -4.711479223588e-03,        -3.267295542583e-01,        -4.756122549838e-04,        -3.584391596419e-01,        -3.883331819113e-04,        -9.309757856108e-01,        -7.536484024189e-03,        +2.019649106480e-02,        -6.924201510883e-03,        -2.779808515855e-02,        +9.530345773280e-03,        +7.825413404621e-03,        -2.871433852072e-03
 7.00e+00,        -3.156822174433e+01,        -5.387225520560e-03,        +8.988729305811e+00,        +5.730681445822e-03,        +1.365934718351e+02,        +7.955682172846e-02,        -2.324022493339e+01,        -3.704190974097e-03,        -2.179010271449e+01,        -4.002827494166e-03,        +1.404202749462e+02,        +8.238056953957e-02,        -5.308336087554e+00,        -1.283025343178e-03,        -3.119381004943e+01,        -5.850347500771e-03,        +1.386456493695e+02,        +8.012489662039e-02,        -6.291083422826e+01,        -1.727559505676e-02,        +3.337353840939e+00,        +1.848085034966e-03,        +1.236784083879e+02,        +1.162151573279e-01,        -4.708404150001e+01,        -1.239911269100e-02,        -3.936708111424e+01,        -1.029638413420e-02,        +1.229460712134e+02,        +1.148420920525e-01,        -9.475448449534e+00,        -2.763734343867e-03,        -6.150278719347e+01,        -1.529340930597e-02,        +1.235562513574e+02,        +1.152294661342e-01,        -1.761217180381e+00,        -2.040569080609e-04,        -1.501377792559e-01,        -5.745424863008e-05,        +9.184394246375e+01,        +1.359064158050e-01,        -1.102971982066e+01,        -3.293571990924e-03,        -3.828684057946e-01,        -2.053525319556e-04,        +8.801966940369e+01,        +1.366169083791e-01,        +3.325738040292e+01,        +1.514425884295e-02,        +2.555553568656e+01,        +1.174129492177e-02,        +1.123959006811e+01,        -9.378641950207e-03,        -1.407044454079e-01,        +8.765225968278e-04,        +1.935431616239e-02,        +9.989607382124e-04,        +3.034759426466e+00,        -5.140769562105e-03,        +1.368896475313e+01,        +5.931084505561e-03,        -2.759970333156e+00,        -1.274421413599e-03,        +3.483491299977e+00,        -8.136043672709e-03,        +2.957730063724e-03,        -1.095514287011e-03,        -4.070966185344e-03,        +1.507846058260e-03,        +2.533620893144e-02,        -4.826772731113e-04
 8.00e+00,        -1.053344182102e+02,        +7.915025679236e-03,        -2.132679086891e-01,        +1.316190051999e-03,        -5.623881332921e+01,        +2.052856747094e-02,        -7.821995708303e+01,        +6.441687451521e-03,        -6.966971859133e+01,        +5.043620058543e-03,        -5.889372198627e+01,        +2.083373857498e-02,        -1.505281325358e+01,        +1.606959526454e-03,        -1.035320240687e+02,        +7.974694124676e-03,        -5.800372724962e+01,        +2.098587560784e-02,        -1.848396228016e+02,        -2.004061932729e-03,        +1.338902337269e+00,        +4.821940265943e-04,        +6.754900017596e+00,        +3.063290583797e-03,        -1.422222909959e+02,        -1.379004421841e-03,        -1.197470109824e+02,        -1.080975691506e-03,        +9.017304665306e+00,        +3.222905398196e-03,        -2.522345084636e+01,        -1.615369824356e-04,        -1.918367771051e+02,        -1.921177257608e-03,        +1.001448717845e+01,        +3.369986042530e-03,        -5.519810302211e+00,        -5.545839967766e-04,        -3.149454048398e-02,        -4.200283593174e-05,        +6.438395512726e+01,        -1.521270465174e-02,        -3.201380995812e+01,        -1.403297204251e-03,        -1.554311070811e-01,        -9.156651927476e-05,        +6.814264297506e+01,        -1.674430937629e-02,        +9.760233738886e+01,        +2.147306464870e-02,        +7.402543615004e+01,        +1.666232735072e-02,        -1.473266315040e+01,        +8.135533052577e-03,        -1.286577859889e+00,        +3.221161831634e-03,        -3.018255290946e-01,        +2.326479033161e-03,        -1.419833158510e+00,        +3.618543877708e-03,        +4.071875378012e+01,        +8.821178465007e-03,        -8.378500190783e+00,        +5.004520679434e-04,        -4.362712319707e+00,        +5.004923439985e-03,        -3.206437280437e-03,        +1.264284444611e-03,        +4.413282301919e-03,        -1.740138251896e-03,        +4.149526864884e-02,        +4.048592037054e-04
