        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 2.41500000e+00,        +1.384229464765e-09,        +1.319855693698e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.954721475914e-12,        +2.134560454841e-03,        +1.709298854327e-11,        +1.295064954820e-02
 2.41502000e+00,        +1.388092584341e-09,        +1.323714505299e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.964159505522e-12,        +2.135419163650e-03,        +1.714717188926e-11,        +1.295382941005e-02
 2.41504000e+00,        +1.391973033043e-09,        +1.327590639756e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.973640819243e-12,        +2.136277606429e-03,        +1.720160361471e-11,        +1.295700880949e-02
 2.41506000e+00,        +1.395870914295e-09,        +1.331484200497e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.983165677926e-12,        +2.137135781952e-03,        +1.725628521864e-11,        +1.296018774553e-02
 2.41508000e+00,        +1.399786332295e-09,        +1.335395291720e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.992734344376e-12,        +2.137993688987e-03,        +1.731121821125e-11,        +1.296336621717e-02
 2.41510000e+00,        +1.403719392013e-09,        +1.339324018401e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.002347083364e-12,        +2.138851326303e-03,        +1.736640411411e-11,        +1.296654422343e-02
 2.41512000e+00,        +1.407670199205e-09,        +1.343270486299e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.012004161648e-12,        +2.139708692668e-03,        +1.742184446019e-11,        +1.296972176333e-02
 2.41514000e+00,        +1.411638860417e-09,        +1.347234801964e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.021705847992e-12,        +2.140565786847e-03,        +1.747754079402e-11,        +1.297289883586e-02
 2.41516000e+00,        +1.415625482991e-09,        +1.351217072741e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.031452413179e-12,        +2.141422607606e-03,        +1.753349467176e-11,        +1.297607544004e-02
 2.41518000e+00,        +1.419630175075e-09,        +1.355217406784e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.041244130036e-12,        +2.142279153707e-03,        +1.758970766132e-11,        +1.297925157488e-02
 2.41520000e+00,        +1.423653045628e-09,        +1.359235913057e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.051081273447e-12,        +2.143135423912e-03,        +1.764618134245e-11,        +1.298242723941e-02
 2.41522000e+00,        +1.427694204430e-09,        +1.363272701341e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.060964120373e-12,        +2.143991416983e-03,        +1.770291730685e-11,        +1.298560243261e-02
 2.41524000e+00,        +1.431753762083e-09,        +1.367327882247e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.070892949871e-12,        +2.144847131677e-03,        +1.775991715831e-11,        +1.298877715353e-02
 2.41526000e+00,        +1.435831830027e-09,        +1.371401567219e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.080868043117e-12,        +2.145702566755e-03,        +1.781718251277e-11,        +1.299195140115e-02
 2.41528000e+00,        +1.439928520542e-09,        +1.375493868542e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.090889683415e-12,        +2.146557720971e-03,        +1.787471499847e-11,        +1.299512517451e-02
 2.41530000e+00,        +1.444043946756e-09,        +1.379604899350e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.100958156227e-12,        +2.147412593082e-03,        +1.793251625603e-11,        +1.299829847261e-02
 2.41532000e+00,        +1.448178222655e-09,        +1.383734773635e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.111073749187e-12,        +2.148267181841e-03,        +1.799058793859e-11,        +1.300147129448e-02
 2.41534000e+00,        +1.452331463090e-09,        +1.387883606254e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.121236752121e-12,        +2.149121486001e-03,        +1.804893171190e-11,        +1.300464363912e-02
 2.41536000e+00,        +1.456503783781e-09,        +1.392051512934e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.131447457070e-12,        +2.149975504314e-03,        +1.810754925447e-11,        +1.300781550555e-02
