        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.40e+01,        +2.935514697210e-10,        +2.935514697091e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.464502829556e-12,        +1.180202856027e-02,        +3.671684850450e-12,        +1.250780605557e-02,        +3.464502829556e-12,        +1.180202856027e-02,        +3.671684850450e-12,        +1.250780605557e-02,        +2.164958541456e-12,        +7.375056045586e-03,        +1.891748643070e-12,        +6.444350780953e-03,        +2.856875549089e-10,        +9.732111209677e-01,        +2.866881193701e-10,        +9.766196015103e-01,        +2.234453441110e-12,        +7.611794426489e-03,        +1.299916845502e-12,        +4.428241653127e-03
 1.50e+01,        +2.935514697210e-10,        +2.935514697345e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.464494169995e-12,        +1.180199906098e-02,        +3.671867647827e-12,        +1.250842876429e-02,        +3.464494169995e-12,        +1.180199906098e-02,        +3.671867647827e-12,        +1.250842876429e-02,        +2.164983295358e-12,        +7.375140371180e-03,        +1.891862347652e-12,        +6.444738121607e-03,        +2.856874613269e-10,        +9.732108021753e-01,        +2.866876960229e-10,        +9.766181592692e-01,        +2.234530928741e-12,        +7.612058392569e-03,        +1.300043716154e-12,        +4.428673844930e-03
 1.60e+01,        +2.935514697210e-10,        +2.935514697659e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.004408087038e-15,        +1.704780456999e-05,        +2.361002896977e-13,        +8.042892440157e-04,        +5.004408087038e-15,        +1.704780456999e-05,        +2.361002896977e-13,        +8.042892440157e-04,        +1.183708663262e-14,        +4.032371782662e-05,        +3.105183681724e-13,        +1.057798717275e-03,        +2.935321817882e-10,        +9.999342945454e-01,        +2.928902841078e-10,        +9.977476329495e-01,        +2.446438059640e-15,        +8.333932246926e-06,        +1.145670002434e-13,        +3.902790891654e-04
 1.70e+01,        +2.935514697210e-10,        +2.935514696314e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.975395103344e-15,        +1.694897016892e-05,        +2.360988498502e-13,        +8.042843394606e-04,        +4.975395103344e-15,        +1.694897016892e-05,        +2.360988498502e-13,        +8.042843394606e-04,        +1.182025211400e-14,        +4.026637006872e-05,        +3.105279397521e-13,        +1.057831323897e-03,        +2.935322450390e-10,        +9.999345100129e-01,        +2.928902865600e-10,        +9.977476417604e-01,        +2.429034754859e-15,        +8.274646886175e-06,        +1.145562817732e-13,        +3.902425762576e-04
 1.80e+01,        +2.935514697210e-10,        +2.935514697525e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.523352520834e-12,        +5.189388158341e-03,        +5.018195063965e-14,        +1.709477069965e-04,        +1.523352520834e-12,        +5.189388158341e-03,        +5.018195063965e-14,        +1.709477069965e-04,        +8.098679203086e-13,        +2.758861746045e-03,        +6.176359506124e-14,        +2.104012462050e-04,        +2.906695541064e-10,        +9.901825883642e-01,        +2.934217653508e-10,        +9.995581544803e-01,        +5.486951733990e-13,        +1.869161731401e-03,        +1.775885601798e-14,        +6.049656652359e-05
 1.90e+01,        +2.935514697210e-10,        +2.935514701324e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.484247715682e-11,        +5.056175385845e-02,        +5.401658718568e-13,        +1.840106171545e-03,        +1.484247715682e-11,        +5.056175385845e-02,        +5.401658718568e-13,        +1.840106171545e-03,        +7.646260227943e-12,        +2.604742614714e-02,        +7.068639252175e-13,        +2.407972696913e-03,        +2.638589309441e-10,        +8.988506553718e-01,        +2.920422707976e-10,        +9.948588254927e-01,        +7.203801392159e-12,        +2.454016462260e-02,        +2.621695377560e-13,        +8.930956388594e-04
 2.00e+01,        +2.935514697210e-10,        +2.935514697461e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.410219598024e-14,        +1.843022487050e-04,        +1.862891483923e-13,        +6.346047204376e-04,        +5.410219598024e-14,        +1.843022487050e-04,        +1.862891483923e-13,        +6.346047204376e-04,        +6.517815852251e-14,        +2.220331534516e-04,        +3.104344022795e-13,        +1.057512682692e-03,        +2.934176493744e-10,        +9.995441332769e-01,        +2.928905568620e-10,        +9.977485621695e-01,        +1.453999205129e-14,        +4.953132091318e-05,        +1.641893335149e-13,        +5.593204273748e-04
 2.10e+01,        +2.935514697210e-10,        +2.935514697551e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.418699470297e-14,        +1.845911204412e-04,        +1.865732045857e-13,        +6.355723742122e-04,        +5.418699470297e-14,        +1.845911204412e-04,        +1.865732045857e-13,        +6.355723742122e-04,        +6.517494082679e-14,        +2.220221921857e-04,        +3.104899639588e-13,        +1.057701956723e-03,        +2.934176561010e-10,        +9.995441561913e-01,        +2.928904379378e-10,        +9.977481570171e-01,        +1.445168447355e-14,        +4.923049606014e-05,        +1.639686487326e-13,        +5.585686519280e-04
 2.20e+01,        +2.935514697210e-10,        +2.935514698449e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.612355952855e-14,        +2.252537164655e-04,        +5.727584445964e-14,        +1.951134650762e-04,        +6.612355952855e-14,        +2.252537164655e-04,        +5.727584445964e-14,        +1.951134650762e-04,        +9.842731890849e-14,        +3.352983345716e-04,        +7.035782036417e-14,        +2.396779699361e-04,        +2.933442841770e-10,        +9.992942105035e-01,        +2.934035571561e-10,        +9.994961269013e-01,        +4.263466558628e-14,        +1.452374455042e-04,        +2.027902391011e-14,        +6.908166367154e-05
 2.30e+01,        +2.935514697210e-10,        +2.935514697885e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.624380893651e-14,        +2.256633530041e-04,        +5.753324907349e-14,        +1.959903287657e-04,        +6.624380893651e-14,        +2.256633530041e-04,        +5.753324907349e-14,        +1.959903287657e-04,        +9.843150850744e-14,        +3.353126066819e-04,        +7.037097378810e-14,        +2.397227778788e-04,        +2.933442769901e-10,        +9.992941860211e-01,        +2.934035295646e-10,        +9.994960331011e-01,        +4.251741341584e-14,        +1.448380192280e-04,        +2.003600104597e-14,        +6.825379229205e-05
 2.40e+01,        +2.935514697210e-10,        +2.935514699182e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.681151865921e-17,        +1.935317125587e-07,        +7.296403464385e-18,        +2.485561890192e-08,        +5.681151865921e-17,        +1.935317125587e-07,        +7.296403464385e-18,        +2.485561890192e-08,        +1.125028519918e-16,        +3.832474492421e-07,        +2.148214040604e-17,        +7.318014933472e-08,        +2.935512854129e-10,        +9.999993721441e-01,        +2.935514343105e-10,        +9.999998787005e-01,        +1.499366471108e-17,        +5.107678297551e-08,        +6.829101114790e-18,        +2.326372651683e-08
