        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.303837145110e+00,        +2.937294629670e-07,        +2.219452437526e+06,        +3.052488217832e-12,        +3.096404692524e-07
 2.00e+00,        +1.638080924618e+00,        +2.111780493337e-07,        +3.878435589747e+06,        +2.613169007749e-11,        +2.650816608644e-06
 3.00e+00,        +1.638081483484e+00,        +2.112489101948e-07,        +3.877135938769e+06,        +1.538860746725e-11,        +1.561030922171e-06
 4.00e+00,        +1.840323621898e+00,        +2.113504777684e-07,        +4.353724773489e+06,        +2.449086751720e-12,        +2.484405076871e-07
 5.00e+00,        +2.077502266020e+00,        +3.157320420892e-08,        +3.289976925168e+07,        +2.182826866820e-11,        +2.214346230903e-06
 6.00e+00,        +2.077509687129e+00,        +3.149465094329e-08,        +3.298194494789e+07,        +1.754759408363e-11,        +1.780097608055e-06
 7.00e+00,        +2.104554937291e+00,        +1.233754521825e-08,        +8.529066763534e+07,        +1.082101762667e-11,        +1.097729448199e-06
 8.00e+00,        +2.104567726219e+00,        +1.235280014723e-08,        +8.518585669385e+07,        +7.080649370268e-12,        +7.182907932112e-07
 9.00e+00,        +2.450083613354e+00,        +1.487626769558e-07,        +8.234873368410e+06,        +3.881840455312e-11,        +3.938024711070e-06
 1.00e+01,        +2.450085476764e+00,        +1.491410504395e-07,        +8.213987596121e+06,        +2.585950651795e-11,        +2.623378700761e-06
 1.10e+01,        +2.450153254231e+00,        +3.764055503244e-08,        +3.254672057995e+07,        +5.964605403170e-12,        +6.050934833287e-07
 1.20e+01,        +2.622264448659e+00,        +4.069418259102e-10,        +3.221915617538e+09,        +5.698154782415e-12,        +5.780727716891e-07
 1.30e+01,        +2.622279188124e+00,        +6.106094699033e-10,        +2.147263772816e+09,        +1.942155798486e-12,        +1.970299912996e-07
 1.40e+01,        +2.783016571725e+00,        +3.590885824586e-07,        +3.875111473429e+06,        +2.917935363346e-11,        +2.960270635344e-06
 1.50e+01,        +2.783026129675e+00,        +3.592738176687e-07,        +3.873126836425e+06,        +1.544370628248e-11,        +1.566777346455e-06
 1.60e+01,        +2.784587778504e+00,        +2.011162323316e-09,        +6.922832001728e+08,        +2.895993166810e-11,        +2.938010596700e-06
 1.70e+01,        +2.784598057017e+00,        +1.832756180052e-09,        +7.596749876839e+08,        +2.144832624282e-11,        +2.175951607088e-06
 1.80e+01,        +2.906828286105e+00,        +1.402128285101e-07,        +1.036577150961e+07,        +3.972067241047e-12,        +4.029752787303e-07
 1.90e+01,        +2.993285219398e+00,        +1.362683161524e-06,        +1.098305645771e+06,        +1.860465365507e-11,        +1.887503615085e-06
 2.00e+01,        +3.072575327646e+00,        +1.186825351128e-08,        +1.294451338070e+08,        +3.420047684855e-12,        +3.469784502839e-07
 2.10e+01,        +3.072647939801e+00,        +1.202555477215e-08,        +1.277549351368e+08,        +5.336558441317e-11,        +5.414166598876e-06
 2.20e+01,        +3.081017444667e+00,        +1.804494090180e-08,        +8.537067152048e+07,        +1.814147069014e-11,        +1.840531608284e-06
 2.30e+01,        +3.081034992075e+00,        +1.828651572986e-08,        +8.424335826436e+07,        +9.369578709362e-12,        +9.505847735491e-07
 2.40e+01,        +3.162635261506e+00,        +3.015526671523e-10,        +5.243918568806e+09,        +9.951454423772e-12,        +1.009628804778e-06
