        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106489900115e+00,        -2.896667974115e-12,        +1.909935674373e+11,        +6.552758727687e-12,        +8.311752611182e-08
 2.00e+00,        +1.763029858822e+00,        +8.796965460227e-11,        +1.002067057551e+10,        +1.190728593162e-11,        +1.510861091716e-07
 3.00e+00,        +1.763032850347e+00,        +9.622718350476e-11,        +9.160783814585e+09,        +8.620686678476e-12,        +1.093839535326e-07
 4.00e+00,        +1.893337080249e+00,        +7.229550781711e-11,        +1.309443101941e+10,        +1.411012840773e-11,        +1.790519106523e-07
 5.00e+00,        +1.893337818640e+00,        +8.507638769445e-11,        +1.112728143466e+10,        +1.387843762484e-11,        +1.761118469660e-07
 6.00e+00,        +2.022726976005e+00,        +9.312638489476e-10,        +1.086011756116e+09,        +6.120822819017e-11,        +7.767769646780e-07
 7.00e+00,        +2.200509189506e+00,        +2.176897934236e-10,        +5.054231424676e+09,        +1.943760775376e-11,        +2.467098220572e-07
 8.00e+00,        +2.200510459755e+00,        -1.619595249329e-10,        +6.793396253375e+09,        +1.917190843607e-11,        +2.433374612406e-07
 9.00e+00,        +2.363048188910e+00,        +1.514093640960e-10,        +7.803507408601e+09,        +1.853856293047e-11,        +2.353293479116e-07
 1.00e+01,        +2.363061125198e+00,        +7.395237525367e-11,        +1.597691160759e+10,        +2.193439414241e-11,        +2.784361843460e-07
 1.10e+01,        +2.444443296959e+00,        +1.613860666332e-10,        +7.573278622977e+09,        +1.108974812006e-11,        +1.407834028461e-07
 1.20e+01,        +2.444457786885e+00,        -5.437835711044e-11,        +2.247638506181e+10,        +7.382149598942e-12,        +9.371575823851e-08
 1.30e+01,        +2.444520241075e+00,        +5.924889621959e-11,        +2.062924710036e+10,        +2.101602751457e-11,        +2.667966874100e-07
 1.40e+01,        +2.540068740686e+00,        +4.016536498348e-10,        +3.162013766998e+09,        +1.211613272637e-10,        +1.538261015870e-06
 1.50e+01,        +2.569944600098e+00,        +3.069751780008e-10,        +4.185915970202e+09,        +2.845841868760e-11,        +3.613169882958e-07
 1.60e+01,        +2.569964596197e+00,        +9.659008808190e-10,        +1.330345922253e+09,        +3.845173178985e-11,        +4.881952271318e-07
 1.70e+01,        +2.907095186127e+00,        +2.647059469052e-10,        +5.491178456917e+09,        +2.431541959123e-11,        +3.088159580754e-07
 1.80e+01,        +2.907121619509e+00,        +1.080786891673e-10,        +1.344909732857e+10,        +2.301941006834e-11,        +2.923561051079e-07
 1.90e+01,        +2.935790695188e+00,        -7.178126244795e-11,        +2.044956159219e+10,        +2.246789667252e-11,        +2.853600189464e-07
 2.00e+01,        +2.935884687519e+00,        +2.115903673335e-10,        +6.937661493096e+09,        +2.026435013880e-11,        +2.573732638277e-07
 2.10e+01,        +2.975839633622e+00,        -9.907432721852e-11,        +1.501821772182e+10,        +8.164477583085e-12,        +1.036996042065e-07
 2.20e+01,        +2.975862237115e+00,        +1.294045316875e-10,        +1.149829220936e+10,        +1.609871293959e-11,        +2.044748341061e-07
 2.30e+01,        +2.981012804106e+00,        -2.743578051700e-11,        +5.432710037644e+10,        +2.117808270301e-11,        +2.689909566054e-07
 2.40e+01,        +2.981102163990e+00,        -7.266519997727e-10,        +2.051258487503e+09,        +2.167280995874e-11,        +2.752747030181e-07
 2.50e+01,        +3.052758554017e+00,        +1.460972931352e-11,        +1.044769033192e+11,        +1.827877536365e-10,        +2.321833260527e-06
 2.60e+01,        +3.228613376148e+00,        +6.074653356195e-10,        +2.657446595579e+09,        +3.668970208079e-11,        +4.661353493782e-07
 2.70e+01,        +3.228669173712e+00,        +4.043889490025e-10,        +3.992034378877e+09,        +2.168795588369e-11,        +2.755411725071e-07
