        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.10e+01,        +3.459059667205e-10,        +3.459059663793e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.006297370731e-12,        +8.691082721796e-03,        +3.981462414356e-12,        +1.151024498372e-02,        +3.006297370731e-12,        +8.691082721796e-03,        +3.981462414356e-12,        +1.151024498372e-02,        +1.323297173925e-12,        +3.825597998412e-03,        +2.594579989721e-12,        +7.500824622597e-03,        +3.411468551029e-10,        +9.862416029921e-01,        +3.363201363813e-10,        +9.722877575711e-01,        +4.295170729015e-13,        +1.241716287735e-03,        +3.009787593837e-12,        +8.701172822607e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059666803e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.014368138201e-12,        +8.714414980406e-03,        +3.974482586956e-12,        +1.149006657821e-02,        +3.014368138201e-12,        +8.714414980406e-03,        +3.974482586956e-12,        +1.149006657821e-02,        +1.326593053456e-12,        +3.835126251314e-03,        +2.594115830765e-12,        +7.499482751516e-03,        +3.411343447309e-10,        +9.862054360182e-01,        +3.363215151931e-10,        +9.722917428135e-01,        +4.306607979598e-13,        +1.245022750093e-03,        +3.015853069413e-12,        +8.718707856811e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059666731e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.615751910466e-13,        +4.671072678465e-04,        +6.467668281685e-12,        +1.869776443549e-02,        +1.615751910466e-13,        +4.671072678465e-04,        +6.467668281685e-12,        +1.869776443549e-02,        +1.604110446847e-13,        +4.637417683355e-04,        +2.774798397944e-12,        +8.021828662371e-03,        +3.455625343682e-10,        +9.990071511181e-01,        +3.357720542196e-10,        +9.707032736352e-01,        +2.144611658371e-14,        +6.199984575877e-05,        +8.914457739311e-13,        +2.577133266896e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059652880e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385011376689e-11,        +4.004011234095e-02,        +3.605761210557e-13,        +1.042410820396e-03,        +1.385011376689e-11,        +4.004011234095e-02,        +3.605761210557e-13,        +1.042410820396e-03,        +6.814146043849e-12,        +1.969941747017e-02,        +4.424143177555e-13,        +1.279001700324e-03,        +3.200123590512e-10,        +9.251426394439e-01,        +3.449668331894e-10,        +9.972850075082e-01,        +5.229347858545e-12,        +1.511783074494e-02,        +1.361416598245e-13,        +3.935799711092e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059658648e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.039154291730e-16,        +2.324086620404e-06,        +2.264367808863e-16,        +6.546194724343e-07,        +8.039154291730e-16,        +2.324086620404e-06,        +2.264367808863e-16,        +6.546194724343e-07,        +1.486260358155e-15,        +4.296717897776e-06,        +6.515591851553e-16,        +1.883630955963e-06,        +3.459035696981e-10,        +9.999930703063e-01,        +3.459049176357e-10,        +9.999969696123e-01,        +1.068466221672e-16,        +3.088892139683e-07,        +1.702332026210e-16,        +4.921372263568e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059664864e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.013020098966e-16,        +2.316531332182e-06,        +2.262054346025e-16,        +6.539506586146e-07,        +8.013020098966e-16,        +2.316531332182e-06,        +2.262054346025e-16,        +6.539506586146e-07,        +1.484298950660e-15,        +4.291047548941e-06,        +6.511950977792e-16,        +1.882578390867e-06,        +3.459035751697e-10,        +9.999930861244e-01,        +3.459049188217e-10,        +9.999969712442e-01,        +1.059498581055e-16,        +3.062967057493e-07,        +1.702641714154e-16,        +4.922267549902e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059661710e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.616084697865e-14,        +1.912683022092e-04,        +1.231981751016e-13,        +3.561608851832e-04,        +6.616084697865e-14,        +1.912683022092e-04,        +1.231981751016e-13,        +3.561608851832e-04,        +6.921321024228e-14,        +2.000925595430e-04,        +1.937139986969e-13,        +5.600192469682e-04,        +3.457610900530e-10,        +9.995811674806e-01,        +3.454955876804e-10,        +9.988136125690e-01,        +9.502610302048e-15,        +2.747165766506e-05,        +9.346631676075e-14,        +2.702072988083e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059666592e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.617487582191e-14,        +1.913088590212e-04,        +1.231920775220e-13,        +3.561432568273e-04,        +6.617487582191e-14,        +1.913088590212e-04,        +1.231920775220e-13,        +3.561432568273e-04,        +6.922920331881e-14,        +2.001387948730e-04,        +1.937234498733e-13,        +5.600465691423e-04,        +3.457610561118e-10,        +9.995810693581e-01,        +3.454955680885e-10,        +9.988135545198e-01,        +9.506529540617e-15,        +2.748298802345e-05,        +9.348304332757e-14,        +2.702556542474e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059665383e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.495324309427e-17,        +1.299579869075e-07,        +3.573402714533e-15,        +1.033056107790e-05,        +4.495324309427e-17,        +1.299579869075e-07,        +3.573402714533e-15,        +1.033056107790e-05,        +1.502390051014e-16,        +4.343348180022e-07,        +7.957169687058e-15,        +2.300385207775e-05,        +3.459057554777e-10,        +9.999993893057e-01,        +3.458930868088e-10,        +9.999627652288e-01,        +1.605056129145e-17,        +4.640151612191e-08,        +1.349157112681e-15,        +3.900358025571e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059664828e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.179318428689e-17,        +1.208223861621e-07,        +3.571832635786e-15,        +1.032602204612e-05,        +4.179318428689e-17,        +1.208223861621e-07,        +3.571832635786e-15,        +1.032602204612e-05,        +1.489118723528e-16,        +4.304981315144e-07,        +7.954675355116e-15,        +2.299664106983e-05,        +3.459057604067e-10,        +9.999994035553e-01,        +3.458930915716e-10,        +9.999627791585e-01,        +1.560872051891e-17,        +4.512417252265e-08,        +1.348403173547e-15,        +3.898178419003e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059665452e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.006380986170e-16,        +5.800365357071e-07,        +4.722014082619e-17,        +1.365114955888e-07,        +2.006380986170e-16,        +5.800365357071e-07,        +4.722014082619e-17,        +1.365114955888e-07,        +1.096967977490e-16,        +3.171289549846e-07,        +4.224069765564e-17,        +1.221161290669e-07,        +3.459056296774e-10,        +9.999990256224e-01,        +3.459058427205e-10,        +9.999996420280e-01,        +2.670814249838e-17,        +7.721214742723e-08,        +3.436381754451e-17,        +9.934439086937e-08
 2.20e+01,        +3.459059667205e-10,        +3.459059664574e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.224255816113e-16,        +3.539273484410e-07,        +2.854091850720e-17,        +8.251062795911e-08,        +1.224255816113e-16,        +3.539273484410e-07,        +2.854091850720e-17,        +8.251062795911e-08,        +7.787900612179e-17,        +2.251450209436e-07,        +2.907478534117e-17,        +8.405401513868e-08,        +3.459057498015e-10,        +9.999993728960e-01,        +3.459058882256e-10,        +9.999997738350e-01,        +1.661443911416e-17,        +4.803166384113e-08,        +2.061611911083e-17,        +5.960035706226e-08
 2.30e+01,        +3.459059667205e-10,        +3.459059665676e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477014613506e-12,        +2.450670248298e-02,        +2.039083249897e-12,        +5.894906266380e-03,        +8.477014613506e-12,        +2.450670248298e-02,        +2.039083249897e-12,        +5.894906266380e-03,        +3.447243418173e-12,        +9.965839707409e-03,        +1.393513403081e-12,        +4.028590246385e-03,        +3.328611766775e-10,        +9.622880456020e-01,        +3.411009571481e-10,        +9.861089143179e-01,        +1.120532011291e-12,        +3.239412207642e-03,        +1.372412766568e-12,        +3.967589169353e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059664239e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477283769396e-12,        +2.450748060165e-02,        +2.038718851727e-12,        +5.893852808623e-03,        +8.477283769396e-12,        +2.450748060165e-02,        +2.038718851727e-12,        +5.893852808623e-03,        +3.447363638865e-12,        +9.966187260513e-03,        +1.393412658752e-12,        +4.028299000327e-03,        +3.328606971367e-10,        +9.622866592691e-01,        +3.411014032163e-10,        +9.861102042926e-01,        +1.120622175526e-12,        +3.239672868758e-03,        +1.372431697106e-12,        +3.967643898413e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059666821e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.644444475654e-12,        +2.209977627195e-02,        +2.823897367084e-13,        +8.163771773499e-04,        +7.644444475654e-12,        +2.209977627195e-02,        +2.823897367084e-13,        +8.163771773499e-04,        +4.853254698500e-12,        +1.403056080389e-02,        +4.423845292952e-13,        +1.278915577949e-03,        +3.276918644915e-10,        +9.473437755304e-01,        +3.449668996961e-10,        +9.972851957569e-01,        +5.716403054847e-12,        +1.652588739374e-02,        +2.142927200459e-13,        +6.195114877647e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059660525e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.335897255199e-13,        +2.120777887919e-03,        +8.635240273868e-12,        +2.496412644284e-02,        +7.335897255199e-13,        +2.120777887919e-03,        +8.635240273868e-12,        +2.496412644284e-02,        +8.845978205491e-13,        +2.557336113441e-03,        +4.063187281335e-12,        +1.174650824241e-02,        +3.440108533313e-10,        +9.945213047144e-01,        +3.299481586621e-10,        +9.538666315227e-01,        +2.769258430692e-13,        +8.005812842569e-04,        +3.259379835187e-12,        +9.422733792029e-03
 2.70e+01,        +3.459059667205e-10,        +3.459059661926e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.336517283236e-13,        +2.120957135488e-03,        +8.635338326659e-12,        +2.496440989934e-02,        +7.336517283236e-13,        +2.120957135488e-03,        +8.635338326659e-12,        +2.496440989934e-02,        +8.847460288630e-13,        +2.557764577614e-03,        +4.063654282359e-12,        +1.174785831851e-02,        +3.440105336462e-10,        +9.945203805177e-01,        +3.299462571465e-10,        +9.538611339326e-01,        +2.770353170857e-13,        +8.008977691605e-04,        +3.260716437073e-12,        +9.426597849594e-03
