        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +4.165190726502e-03,        -1.080970633250e-02
 2.00e+00,        -1.975275550645e-03,        +7.321226314465e-04
 3.00e+00,        -6.180137308189e-04,        +1.161327723887e-02
 4.00e+00,        -9.438153135185e-04,        -9.895932381065e-03
 5.00e+00,        -4.176068691875e-03,        +2.906344557870e-02
 6.00e+00,        -4.714151645396e-06,        +2.967175879960e-05
 7.00e+00,        +8.680763725695e-07,        -5.377708648697e-06
 8.00e+00,        +6.167233866549e-06,        -3.528992645078e-05
