        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.439069997626e+00,        +2.195861946077e-04,        +5.553787231180e+03,        +1.158003796074e-14,        +8.589980466148e-08
 2.00e+00,        +2.599062317935e+00,        +8.052861093042e-05,        +1.613750870127e+04,        +8.482448177329e-15,        +6.292217575164e-08
 3.00e+00,        +2.605023231550e+00,        +6.341132806383e-05,        +2.054067713027e+04,        +4.590408026348e-15,        +3.405130957434e-08
 4.00e+00,        +2.605653214035e+00,        +1.444906719069e-03,        +9.016684538415e+02,        +8.483377434808e-15,        +6.292907089780e-08
 5.00e+00,        +2.701803509779e+00,        +6.359902515922e-05,        +2.124091921035e+04,        +5.975591533116e-15,        +4.432651992838e-08
 6.00e+00,        +2.739736961371e+00,        +7.340826448893e-05,        +1.866095719214e+04,        +8.406243540462e-15,        +6.235693820297e-08
 7.00e+00,        +2.799643730452e+00,        +9.577536001776e-05,        +1.461567845619e+04,        +6.902906770060e-15,        +5.120530456970e-08
 8.00e+00,        +2.880723112641e+00,        +1.035151046063e-04,        +1.391450612670e+04,        +5.920204586856e-15,        +4.391570327686e-08
