        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106493365934e+00,        -2.934713817916e-12,        +1.885181033972e+11,        +6.557054686701e-12,        +8.315091529800e-08
 2.00e+00,        +1.763037599994e+00,        +8.255808448164e-11,        +1.067755878218e+10,        +1.178640774676e-11,        +1.495144099517e-07
 3.00e+00,        +1.763041233543e+00,        +1.000404941610e-10,        +8.811637968847e+09,        +8.576016571033e-12,        +1.087895555441e-07
 4.00e+00,        +1.893334717853e+00,        +1.157364508727e-10,        +8.179509150213e+09,        +1.660697243923e-11,        +2.106824210137e-07
 5.00e+00,        +1.893335477057e+00,        -3.458875333879e-10,        +2.736923557944e+09,        +2.943347634530e-11,        +3.734043686224e-07
 6.00e+00,        +2.022725388335e+00,        +9.343769728840e-10,        +1.082392571219e+09,        +6.155436416816e-11,        +7.809715824628e-07
 7.00e+00,        +2.200500886585e+00,        +2.089240036980e-10,        +5.266271102496e+09,        +1.741810102976e-11,        +2.210213846082e-07
 8.00e+00,        +2.200502198295e+00,        -1.396479032175e-10,        +7.878751300934e+09,        +2.119631376115e-11,        +2.689637987982e-07
 9.00e+00,        +2.363057509695e+00,        +1.423702503166e-10,        +8.298986285547e+09,        +1.877160170424e-11,        +2.382271422158e-07
 1.00e+01,        +2.363070933604e+00,        +5.787974939318e-11,        +2.041362444015e+10,        +2.201501192538e-11,        +2.793887020260e-07
 1.10e+01,        +2.444444225514e+00,        +5.563730283224e-11,        +2.196767367466e+10,        +1.678765333809e-11,        +2.130637946141e-07
 1.20e+01,        +2.444458421060e+00,        -4.680652779442e-12,        +2.611236654636e+11,        +1.367570117593e-11,        +1.735678455636e-07
 1.30e+01,        +2.444525627055e+00,        -8.061221940826e-12,        +1.516225235454e+11,        +1.997153572019e-11,        +2.534726799297e-07
 1.40e+01,        +2.540094668862e+00,        -3.389178927713e-10,        +3.747359940326e+09,        +1.117775051506e-10,        +1.418764559832e-06
 1.50e+01,        +2.569928119559e+00,        +3.146866088457e-10,        +4.083313441562e+09,        +3.365274679252e-11,        +4.271574931182e-07
 1.60e+01,        +2.569945964529e+00,        +9.988755842838e-10,        +1.286419452515e+09,        +5.226215702351e-11,        +6.633685052587e-07
 1.70e+01,        +2.907099021165e+00,        +3.719189104147e-11,        +3.908243087079e+10,        +2.205117074843e-11,        +2.799880889139e-07
 1.80e+01,        +2.907125546096e+00,        -1.451681576924e-11,        +1.001295873802e+11,        +2.035466561041e-11,        +2.584472336452e-07
 1.90e+01,        +2.935796402858e+00,        -4.549604785152e-10,        +3.226430142284e+09,        +2.472880508828e-11,        +3.139957578548e-07
 2.00e+01,        +2.935890301868e+00,        +1.914681240986e-10,        +7.666786092177e+09,        +2.101381498775e-11,        +2.668244331112e-07
 2.10e+01,        +2.975810030878e+00,        -1.967683462227e-11,        +7.561709207817e+10,        +1.041178571053e-11,        +1.322098612964e-07
 2.20e+01,        +2.975835700970e+00,        +2.236535568509e-10,        +6.652779734136e+09,        +2.460380312626e-11,        +3.124214785145e-07
 2.30e+01,        +2.981021783844e+00,        +5.863905030961e-10,        +2.541840094702e+09,        +2.454488164859e-11,        +3.116749729581e-07
 2.40e+01,        +2.981113683348e+00,        +3.484887576740e-10,        +4.277202087157e+09,        +5.618435861474e-11,        +7.134383608688e-07
 2.50e+01,        +3.052767907198e+00,        -3.353489305965e-10,        +4.551629107284e+09,        +1.795934904628e-10,        +2.280680666705e-06
 2.60e+01,        +3.228656379013e+00,        +1.220475497903e-09,        +1.322704300316e+09,        +4.600391835763e-11,        +5.843225851779e-07
 2.70e+01,        +3.228716193344e+00,        -3.853970383759e-12,        +4.188818117220e+11,        +2.410784980880e-11,        +3.062078748555e-07
